	GSM1525024		GSM1525025		GSM1525026		GSM1525027		GSM1525028		GSM1525029		GSM1525030		GSM1525031		
ID_REF 	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	
ILMN_1217003	47.18955	0.4736842	53.96798	0.1817043	54.91302	0.3120301	48.58834	0.424812	61.21339	0.4611529	65.20499	0.4686717	86.4345	0.5225564	134.1829	0.3721805	
ILMN_1219820	3168.564	0	4150.229	0	3439.441	0	4052.397	0	4508.65	0	6560.467	0	8308.074	0	6569.858	0	
ILMN_1223051	521.9482	0	468.6549	0	382.4779	0	426.549	0	750.5084	0	882.0187	0	1088.193	0	810.9073	0	
ILMN_2734290	1686.716	0	1576.671	0	1537.94	0	1525.241	0	3377.681	0	3902.322	0	5220.319	0	3989.323	0	
ILMN_2943319	1515.617	0	1265.145	0	1201.41	0	1212.443	0	2402.516	0	2574.868	0	3368.926	0	2496.68	0	
ILMN_3135697	655.486	0	596.4014	0	460.5957	0	551.7558	0	1003.26	0	1407.002	0	1911.33	0	1287.716	0	
ILMN_1255564	244.4181	0	259.8356	0	251.1687	0	220.188	0	738.7764	0	708.4973	0	1431.195	0	856.6501	0	
ILMN_2740207	154.3306	0	208.9084	0	188.2259	0	233.0948	0	294.2521	0	471.5667	0	650.8489	0	567.0004	0	
ILMN_1248750	42.71594	0.7756892	43.40849	0.6340852	50.27478	0.5426065	49.27341	0.3847118	58.88247	0.5463659	65.64833	0.4561403	89.86393	0.4887218	141.9436	0.3120301	
ILMN_2615431	275.3098	0	177.8212	0	324.1967	0	251.3797	0	318.8188	0	711.7803	0	1154.088	0	547.3428	0	
ILMN_1238691	70.21455	0.04135338	78.04295	0.02255639	71.00296	0.05513784	69.02362	0.04511278	149.5977	0.01378446	131.7373	0.04385965	162.5269	0.1829574	165.7826	0.1629073	
ILMN_2696126	41.66171	0.849624	43.00496	0.6679198	49.46053	0.593985	45.71844	0.6829574	54.20051	0.7493734	47.32816	0.9899749	68.33994	0.8032581	92.51699	0.8972431	
ILMN_3105117	143.7332	0	123.673	0	91.6674	0.01002506	98.06358	0.001253133	318.2582	0	313.4608	0	634.1867	0	329.1317	0.001253133	
ILMN_3031706	66.30038	0.05764411	63.94027	0.0726817	64.39961	0.112782	59.67404	0.1140351	115.0617	0.04135338	141.2916	0.02756892	175.4928	0.1553885	189.0599	0.08270676	
ILMN_2679477	565.9866	0	419.8375	0	568.8639	0	481.7487	0	936.7278	0	1081.146	0	1662.152	0	1015.663	0	
ILMN_2933887	83.74573	0.0112782	71.95731	0.03884712	108.8544	0.002506266	80.47809	0.01002506	365.6279	0	329.574	0	610.6662	0	280.4711	0.002506266	
ILMN_2623480	1150.55	0	973.8726	0	1055.097	0	1001.336	0	1615.077	0	1679.937	0	2408.768	0	1400.388	0	
ILMN_2613750	41.35904	0.8621554	41.80539	0.7606516	48.81426	0.6390978	42.90306	0.8621554	57.86735	0.5864662	55.09862	0.858396	50.99225	0.9949875	94.69347	0.8759398	
ILMN_3150536	495.5537	0	431.0588	0	386.7024	0	424.2234	0	924.6745	0	957.3232	0	1307.411	0	933.5565	0	
ILMN_3071764	202.1794	0	178.8394	0	173.0751	0	155.8715	0	232.4076	0	250.6196	0	337.0473	0.0112782	281.5308	0.002506266	
ILMN_2798079	244.901	0	240.1481	0	195.1046	0	209.7702	0	449.7216	0	590.0593	0	861.5901	0	582.2111	0	
ILMN_1236716	524.8886	0	507.2223	0	382.5863	0	431.6787	0	1017.185	0	1193.941	0	1821.599	0	1259.731	0	
ILMN_2631656	46.88385	0.4962406	42.23291	0.7380952	48.61372	0.6553885	42.55209	0.8884712	53.79002	0.7669173	74.46152	0.3120301	75.39058	0.6817043	102.8711	0.7669173	
ILMN_1235616	102.7814	0	88.57702	0.007518797	84.00146	0.02130326	77.64785	0.01253133	112.6199	0.04636591	150.3441	0.01879699	158.7475	0.1929825	210.8424	0.03759398	
ILMN_1217040	211.3452	0	141.7473	0	145.798	0	139.4731	0	366.354	0	359.8072	0	496.274	0	413.9662	0	
