gene	UT1	UT2	Ab1	Ab2	L1	L2	LAb1	LAb2
Wee1	15.52164266	16.3444092	14.87167854	12.52669675	2.952476527	2.884984526	2.501615414	3.460582472
Lap3	34.31203266	33.25337047	29.79333577	34.53351172	40.45669097	38.44054304	41.24866997	39.33183079
Eif3e	31.71608473	32.3482768	43.30518905	53.19073358	62.22777075	59.18988234	57.15179875	66.8488167
Gm9625	228.3525315	136.9772528	129.6083936	368.7917446	334.4948967	299.8573134	368.430805	279.4137424
Hsd17b4	29.2906981	28.56795144	23.31333302	26.88369455	19.3043628	19.62300374	20.67282131	19.08138314
Kat5	9.625000746	10.62739982	12.33693254	8.51597823	6.073655335	6.603807828	6.510749617	6.434697875
Rilpl2	24.09364518	17.84374599	14.72533219	23.45724124	35.17214371	34.93835337	40.42402608	31.16840542
Borcs7	2.526322711	2.698187897	2.964021808	3.218999791	1.975326548	2.096593114	1.923973254	2.233361634
Orc2	11.7794627	13.10350671	13.04215058	15.5765547	16.00709618	16.64939319	14.98848492	18.35228989
Slu7	10.67695366	13.74625812	19.30610021	13.81892627	9.825169313	11.09374625	9.993972181	11.36259742
Atg16l2	2.747033314	2.26257813	1.944583859	2.738417799	2.551130381	2.983241804	2.933212973	2.716880361
Gmip	18.67359381	19.94686846	17.93666782	17.10098542	14.90025161	16.6129013	17.16674839	15.0050612
Trappc5	10.67677558	10.32233092	9.777438721	12.50312959	6.641345854	6.531328079	7.456027075	5.991693272
Abcc10	0.856846909	0.779070841	0.55713711	0.678569349	0.474955643	0.56217344	0.546238906	0.512544568
Nudt16	5.912080308	4.352737826	4.074715824	5.626576748	4.968615056	5.862963322	5.836126432	5.220933523
Vps35l	8.371711304	8.196404095	7.681973537	7.516641033	4.253769918	4.24330009	4.566284147	4.106315391
Gtpbp1	32.90807369	34.03711025	31.24928445	28.32472927	14.69036259	16.54952078	16.43960851	15.44467921
Ap2b1	25.69471706	26.78328717	20.33166042	17.62126789	24.53286997	25.53904502	25.74575084	25.3568441
Fam72a	8.863588946	7.867288535	7.440300265	11.25298782	18.97895867	19.5443302	19.9663815	19.34840935
Slc25a5	700.6553271	548.5107468	496.1550613	901.9848234	835.3308968	780.7060243	851.4692084	797.6145788
Mycbp	5.66992309	5.680110453	6.822449095	7.233374739	6.059773529	4.965076282	5.534865798	5.714482775
Lfng	15.84932731	14.75879779	15.14844153	19.01711209	8.754951213	10.12353889	10.56956405	8.692862088
Osgin2	4.098629701	4.305705022	5.039308338	5.210694662	18.4207799	21.14500175	19.31277514	21.05689691
Zfand3	13.6946018	11.09454649	11.44395015	11.47333683	12.94881777	12.70497764	13.71750876	12.4567568
Nono	112.6023255	113.4549165	141.5680355	116.9594486	87.81206595	83.57746088	84.20230467	90.6634795
Phf19	9.283738786	9.227206123	7.530630289	7.880499634	4.604308034	4.701708085	4.57931598	4.914916165
Mb21d2	3.570949402	3.644777151	2.445837329	2.731222531	2.89171061	2.851969843	2.929632894	2.929866921
Gm32856	0.625188015	0.802214924	0.653745435	0.385223678	0.313297659	0.425093448	0.351514049	0.401762433
